item	subtype	subsubtype	optionality	response
Tricycle	Convertible tricycle	-	"frame: F
front wheel: F
rear wheels: F
seat: F
handlebars: F
pedals: F
conversion kit: F
front fork: F
rear axle: F"	"1. frame: steel or aluminum
2. front wheel: rubber, plastics, and metal
3. rear wheels: rubber, plastics, and metal
4. seat: plastics, rubber, and foam
5. handlebars: steel or aluminum
6. pedals: plastics or metal
7. conversion kit: plastics, metal, and rubber
8. front fork: steel or aluminum
9. rear axle: steel or aluminum"
Trident	-	-	"shaft: F
tines: F"	"1. shaft: wood or metal
2. tines: metal"
Trigger (drums)	-	-	"transducer: F
mount: F
wiring: F"	"1. transducer: electronics
2. mount: metal or plastic
3. wiring: copper and plastic"
Tripod (foundation)	-	-	"head: F
legs: F
central column: F"	"1. head: metal and/or plastic
2. legs: metal or carbon fiber
3. central column: metal or carbon fiber"
Tripod (laboratory)	-	-	"legs: F
base: F"	"1. legs: metal
2. base: metal"
Tripod (photography)	Pocket tripod	-	"legs: F
mounting head: F"	"1. legs: metal or plastic
2. mounting head: metal or plastic"
Tripod (photography)	Tabletop tripod	-	"legs: F
mounting head: F
center column: T"	"1. legs: metal or plastic
2. mounting head: metal and/or plastic
3. center column: metal or plastic"
Tripod (photography)	Studio tripod	-	"legs: F
mounting head: F
center column: F
spreader: T
geared column: T"	"1. legs: aluminum or carbon fiber
2. mounting head: metal and/or plastics
3. center column: metal or carbon fiber
4. spreader: plastic or metal
5. geared column: metal"
Tripod (photography)	Travel tripod	-	"legs: F
mounting head: F
center column: F
twist locks: F"	"1. legs: aluminum or carbon fiber
2. mounting head: metal and/or plastic
3. center column: aluminum or carbon fiber
4. twist locks: plastic or metal"
Tripod (photography)	Single-legged support stand for cameras	-	"single leg: F
mounting head: F"	"1. single leg: aluminum or carbon fiber
2. mounting head: metal and plastic"
Troika (driving)	-	-	"harnesses: F
carriage: F"	"1. harnesses: leather and/or synthetic materials
2. carriage: wood, metal, and leather"
Trolleybus	-	-	"body: F
driver's cabin: F
passengers' cabin: F
electric motors: F
wheels: F
trolley poles: F"	"1. body: aluminum or steel
2. driver's cabin: metals, plastics, and textiles
3. passengers' cabin: metals, plastics, and textiles
4. electric motors: steel, copper, and insulation materials
5. wheels: steel and rubber
6. trolley poles: aluminum or copper"
Trombone	-	-	"bell: F
slide: F
mouthpiece: F
tuning slide: F"	"1. bell: brass or copper and zinc alloy
2. slide: brass or nickel silver
3. mouthpiece: brass or silver
4. tuning slide: brass or nickel silver"
Trousers	-	-	"waistband: F
fly: F
leg: F
pocket: F"	"1. waistband: cotton, wool, polyester, and/or elastane
2. fly: cotton, wool, polyester, and/or elastane
3. leg: cotton, wool, polyester, and/or elastane
4. pocket: cotton, wool, polyester, and/or elastane"
Trowel	Bricklayer's trowel	-	"handle: F
flat blade: F"	"1. handle: wood or plastic
2. flat blade: metal"
Trowel	Gardening trowel	-	"handle: F
scoop-shaped blade: F"	"1. handle: wood or plastic
2. scoop-shaped blade: metal"
Trowel	Gauging trowel	-	"handle: F
rounded tip blade: F"	"1. handle: wood or plastic
2. rounded tip blade: metal"
Trowel	Pointing trowel	-	"handle: F
pointed blade: F"	"1. handle: wood or plastic
2. pointed blade: metal"
Trowel	Notched trowel	-	"handle: F
notched blade: F"	"1. handle: wood or plastic
2. notched blade: metal"
Truck	Pickup truck	-	"chassis: F
cab: F
engine: F
truck bed: F
tailgate: F
tires: F
drivetrain: F"	"1. chassis: steel or aluminum
2. cab: steel, aluminum, and plastic
3. engine: metals including steel, aluminum, and cast iron, and various alloys
4. truck bed: steel or aluminum
5. tailgate: steel or aluminum
6. tires: rubber
7. drivetrain: metals such as steel and aluminum, and other materials for electronic components"
Truck	Semi-trailer truck	-	"chassis: F
cab: F
engine: F
fifth wheel coupling: F
tires: F
drivetrain: F"	"1. chassis: steel or aluminum
2. cab: steel, aluminum, and plastic
3. engine: cast iron and aluminum
4. fifth wheel coupling: steel
5. tires: rubber
6. drivetrain: steel and aluminum"
Truck	Dump truck	-	"chassis: F
cab: F
engine: F
dump bed: F
tires: F
drivetrain: F
hydraulic ram: F"	"1. chassis: steel
2. cab: steel and plastic
3. engine: iron, steel, aluminum, and various alloys
4. dump bed: steel
5. tires: rubber
6. drivetrain: steel and various alloys
7. hydraulic ram: steel, rubber, and hydraulic fluid"
Truck	Concrete mixer truck	-	"chassis: F
cab: F
engine: F
mixing drum: F
tires: F
drivetrain: F"	"1. chassis: steel
2. cab: steel and plastics
3. engine: steel, aluminum, and various metals
4. mixing drum: steel
5. tires: rubber
6. drivetrain: steel and various metals"
Truck	Garbage truck	-	"chassis: F
cab: F
engine: F
compactor body: F
loading hopper: F
tires: F
drivetrain: F"	"1. chassis: steel
2. cab: steel and plastic
3. engine: metal alloys and electronics
4. compactor body: steel
5. loading hopper: steel
6. tires: rubber
7. drivetrain: metal alloys and electronics"
Truck	Fire truck	-	"chassis: F
cab: F
engine: F
water tank: F
pump: F
fire hose: F
tires: F
drivetrain: F
aerial ladder: T
extendable platform: T"	"1. chassis: steel
2. cab: steel and/or aluminum
3. engine: metals, plastic, and rubber
4. water tank: stainless steel or plastic
5. pump: metals and rubber
6. fire hose: rubber and textile
7. tires: rubber and steel
8. drivetrain: steel and/or aluminum
9. aerial ladder: steel or aluminum
10. extendable platform: steel or aluminum"
Trumpet	-	-	"body: F
mouthpiece: F
valves: F
bell: F"	"1. body: brass
2. mouthpiece: brass or silver
3. valves: brass and stainless steel
4. bell: brass"
Trundle bed	-	-	"main bed frame: F
mattress support: F
lower bed frame: F
wheels or casters: F"	"1. main bed frame: wood or metal
2. mattress support: wood, metal, and/or fabric
3. lower bed frame: wood or metal
4. wheels or casters: plastic and/or metal"
Trunk (luggage)	Flat-top trunk	-	"body: F
lid: F
handle: F
lock: F
hinge: F"	"1. body: wood, metal, and/or canvas
2. lid: wood, metal, and/or canvas
3. handle: leather or metal
4. lock: metal
5. hinge: metal"
Trunk (luggage)	Dome-top trunk	-	"body: F
arched lid: F
handle: F
lock: F
hinge: F"	"1. body: wood and/or metal
2. arched lid: wood and/or metal
3. handle: leather or metal
4. lock: metal
5. hinge: metal"
Trunk (luggage)	Wardrobe trunk	-	"body: F
lid: F
handle: F
lock: F
hinge: F
hangers: F
drawers: F"	"1. body: wood, metal, and/or leather
2. lid: wood, metal, and/or leather
3. handle: leather or plastic
4. lock: metal
5. hinge: metal
6. hangers: metal or wood
7. drawers: wood, metal, or plastic"
Trunk (luggage)	Steamer trunk	-	"body: F
flat lid: F
handle: F
lock: F
hinge: F
tray: T"	"1. body: wood, metal, and/or vulcanized fiber
2. flat lid: wood, metal, and/or vulcanized fiber
3. handle: leather or metal
4. lock: metal
5. hinge: metal
6. tray: wood, paper, and/or fabric"
Trunk (luggage)	Half-sized Trunk	-	"body: F
lid: F
handle: F
lock: F
hinge: F"	"1. body: plastic, metal, or fabric
2. lid: plastic, metal, or fabric
3. handle: plastic, metal, or leather
4. lock: metal
5. hinge: metal"
Truss bridge	-	-	"top chords: F
bottom chords: F
vertical members: F
diagonal members: F
end posts: F
panels: T
struts: T"	"1. top chords: steel or prestressed concrete
2. bottom chords: steel or prestressed concrete
3. vertical members: steel
4. diagonal members: steel
5. end posts: steel
6. panels: steel
7. struts: steel"
Try square	-	-	"handle: F
blade: F"	"1. handle: wood or plastic
2. blade: metal"
Tuba	-	-	"body: F
bell: F
mouthpiece: F
valves: F
tubing: F"	"1. body: brass
2. bell: brass
3. mouthpiece: brass or plated with silver or gold
4. valves: brass and/or stainless steel
5. tubing: brass"
Tubeless tire	-	-	"tread: F
sidewall: F
bead: F
casing: F"	"1. tread: rubber
2. sidewall: rubber
3. bead: steel wire
4. casing: rubber and fabric"
Tugboat	Harbor tugboat	-	"hull: F
superstructure: F
engine room: F
wheelhouse: F
deck: F
winches: F
fenders: F"	"1. hull: steel or aluminum
2. superstructure: steel or aluminum
3. engine room: steel, aluminum, and electronics
4. wheelhouse: steel, aluminum, and glass
5. deck: steel or wood
6. winches: steel
7. fenders: rubber or foam"
Tugboat	River tugboat	-	"hull: F
superstructure: F
engine room: F
wheelhouse: F
deck: F
winches: F"	"1. hull: steel or aluminum
2. superstructure: steel or aluminum
3. engine room: steel, aluminum, and electronics
4. wheelhouse: steel, aluminum, and/or glass
5. deck: steel or wood
6. winches: metal"
Tugboat	Ocean-going tugboat	-	"hull: F
superstructure: F
engine room: F
wheelhouse: F
deck: F
winches: F
reinforced structure: F
sea-going capabilities: F"	"1. hull: steel
2. superstructure: steel and/or aluminum
3. engine room: steel, aluminum, and electronics
4. wheelhouse: steel, aluminum, and glass
5. deck: steel and/or wood
6. winches: steel
7. reinforced structure: steel
8. sea-going capabilities: electronics and steel"
Tumbler (glass)	-	-	"body: F
base: F"	"1. body: glass
2. base: glass"
Tunic	-	-	"body: F
sleeves: T
neckline: F"	"1. body: cotton, silk, linen, wool, or synthetic fabric
2. sleeves: cotton, silk, linen, wool, or synthetic fabric
3. neckline: cotton, silk, linen, wool, or synthetic fabric"
Tuning fork	-	-	"handle: F
prong: F"	"1. handle: metal
2. prong: metal"
Tunnel	Cut-and-cover tunnel	-	"walls: F
ceiling: F
floor: F"	"1. walls: concrete and/or steel
2. ceiling: concrete and/or steel
3. floor: concrete and/or steel"
Tunnel	Bored tunnel	-	-: F	concrete or reinforced concrete
Tunnel	Immersed tube tunnel	-	"tube sections: F
joints: F"	"1. tube sections: concrete and/or steel
2. joints: rubber and/or steel"
Tunnel	Mountain tunnel	-	"entrance: F
exit: F
tunnel lining: F"	"1. entrance: concrete, steel, and/or rock
2. exit: concrete, steel, and/or rock
3. tunnel lining: concrete, steel, and/or rock"
Tunnel	Undersea tunnel	-	"entrance: F
exit: F
tunnel lining: F
pressure control systems: F"	"1. entrance: concrete and/or metal
2. exit: concrete and/or metal
3. tunnel lining: concrete, steel, and/or reinforced plastic
4. pressure control systems: electronics, metal, and rubber"
Turban	-	-	-: F	cotton, silk, or wool
Turbine	Steam turbine	-	"casing: F
rotor: F
blades: F
nozzles: F"	"1. casing: steel or cast iron
2. rotor: steel or alloy
3. blades: steel, titanium, or alloy
4. nozzles: steel or alloy"
Turbine	Gas turbine	-	"compressor: F
combustor: F
turbine: F
shaft: F"	"1. compressor: titanium and/or nickel-alloy
2. combustor: nickel-alloy and/or ceramic coatings
3. turbine: nickel-alloy and/or ceramic coatings
4. shaft: steel or titanium"
Turbine	Water turbine	-	"runner: F
draft tube: F
casing: F
guide vanes: F"	"1. runner: stainless steel, carbon steel or bronze
2. draft tube: steel or concrete
3. casing: cast iron, steel or concrete
4. guide vanes: stainless steel, carbon steel or bronze"
Turbine	Wind turbine	-	"rotor: F
nacelle: F
tower: F
blades: F"	"1. rotor: metal and/or high-performance composite materials
2. nacelle: metal and/or composite materials
3. tower: steel or concrete
4. blades: fiberglass, carbon fiber, and/or wood epoxy"
Turnstile	Tripod turnstile	-	"body: F
arms: F
internal mechanism: F"	"1. body: metal and/or plastic
2. arms: metal or plastic
3. internal mechanism: metal and electronics"
Turnstile	Full-height turnstile	-	"body: F
rotating section: F
internal mechanism: F"	"1. body: metal and/or plastic
2. rotating section: metal and/or plastic
3. internal mechanism: metal"
Turnstile	Drop arm turnstile	-	"body: F
horizontal arm: F
internal mechanism: F"	"1. body: metal or plastic
2. horizontal arm: metal or plastic
3. internal mechanism: metal and electronics"
Turnstile	Optical turnstile	-	"body: F
optical sensors: F
internal mechanism: F"	"1. body: metal and/or plastic
2. optical sensors: electronics and glass
3. internal mechanism: metal, electronics, and plastic"
Tutu (clothing)	-	-	"bodice: F
skirt: F"	"1. bodice: cotton, spandex, and/or polyester
2. skirt: tulle, nylon, or polyester"
Tweezers	Flat-tip tweezers	-	"body: F
flat tips: F"	"1. body: metal
2. flat tips: metal"
Tweezers	Pointed-tip tweezers	-	"body: F
pointed tips: F"	"1. body: metal
2. pointed tips: metal"
Tweezers	Slant-tip tweezers	-	"body: F
slanted tips: F"	"1. body: stainless steel
2. slanted tips: stainless steel"
Tweezers	Round-tip tweezers	-	"body: F
round tips: F"	"1. body: stainless steel
2. round tips: stainless steel"
Tweezers	Cross-locking tweezers	-	"body: F
angled tips: F
internal mechanism: F"	"1. body: metal
2. angled tips: metal
3. internal mechanism: metal"
Two-lane expressway	-	-	"road surface: F
shoulders: F
lanes: F
median: T
signs: F
lighting: T"	"1. road surface: asphalt or concrete
2. shoulders: asphalt or concrete
3. lanes: asphalt or concrete
4. median: asphalt, concrete, and/or grass
5. signs: metal and reflective materials
6. lighting: metal, glass, and electronics"
Two-man saw	-	-	"handles at each end: F
blade: F
teeth: F"	"1. handles at each end: wood or plastic
2. blade: steel
3. teeth: steel"
Typewriter	Mechanical typewriter	-	"body: F
keys: F
typebars or type wheel: F
carriage: F
platen: F
ribbon: F"	"1. body: metal and/or plastic
2. keys: plastic
3. typebars or type wheel: metal
4. carriage: metal and/or plastic
5. platen: rubber
6. ribbon: fabric coated with ink"
Typewriter	Electric typewriter	-	"body: F
keys: F
typebars or type wheel: F
carriage: F
platen: F
ribbon: F
motor: F
power cord: F"	"1. body: plastic or metal
2. keys: plastic
3. typebars or type wheel: metal
4. carriage: metal and/or plastic
5. platen: rubber
6. ribbon: fabric and ink
7. motor: electronics and metal
8. power cord: plastic and metal"
Typewriter	Electronic typewriter	-	"body: F
keys: F
type wheel: F
carriage: F
platen: F
ribbon: F
motor: F
power cord: F
electronic display: F
circuitry: F"	"1. body: plastic or metal
2. keys: plastic
3. type wheel: metal
4. carriage: metal and plastics
5. platen: rubber
6. ribbon: fabric coated with ink
7. motor: metal, plastics, and electronics
8. power cord: copper wire and plastics
9. electronic display: glass and electronics
10. circuitry: electronics"
UFO (ride)	Gravitron	-	"central pillar: F
radial arms: F
passenger compartments: F"	"1. central pillar: steel
2. radial arms: steel and/or aluminum
3. passenger compartments: steel, aluminum, plastics, and fiberglass"
UFO (ride)	Round Up	-	"central axis: F
platform: F
cage: F"	"1. central axis: metal
2. platform: metal and reinforced composites
3. cage: metal and textiles"
UFO (ride)	Centrifugal UFO Ride	-	"rotor drum: F
floor: T
central column: F"	"1. rotor drum: metal and/or fiberglass
2. floor: metal
3. central column: metal"
Ukulele	-	-	"body: F
neck: F
strings: F
tuning pegs: F"	"1. body: wood
2. neck: wood
3. strings: nylon or gut
4. tuning pegs: metal or plastic"
Umbrella	compact umbrella	-	"canopy: F
shaft: F
handle: F
internal mechanism: F
wrist strap: T"	"1. canopy: polyester or nylon
2. shaft: metal or plastic
3. handle: plastic or rubber
4. internal mechanism: metal and plastics
5. wrist strap: nylon or polyester"
Umbrella	stick umbrella	-	"canopy: F
shaft: F
handle: F
spike: T
internal mechanism: F"	"1. canopy: polyester or nylon
2. shaft: metal, plastic, and/or wood
3. handle: plastic, wood, or metal
4. spike: metal or plastic
5. internal mechanism: metal and plastics"
Umbrella	golf umbrella	-	"canopy: F
shaft: F
handle: F
spike: T
internal mechanism: F
larger size canopy: F"	"1. canopy: fabric and waterproof materials
2. shaft: metal or fiberglass
3. handle: plastic or rubber
4. spike: metal or plastic
5. internal mechanism: metal and/or plastics
6. larger size canopy: fabric and waterproof materials"
Umbrella	bubble umbrella	-	"canopy: F
shaft: F
handle: F
internal mechanism: F
dome-shaped canopy: F"	"1. canopy: plastic
2. shaft: metal or plastic
3. handle: plastic or rubber
4. internal mechanism: metal and/or plastic
5. dome-shaped canopy: plastic"
Umbrella	automatic umbrella	-	"canopy: F
shaft: F
handle: F
internal mechanism: F"	"1. canopy: fabric
2. shaft: metal or plastic
3. handle: plastic or wood
4. internal mechanism: metal and plastics"
Uncrewed spacecraft	Artificial Satellite	-	"body: F
communication antenna: F
scientific instruments: F
solar panels: F"	"1. body: aluminum, titanium, and/or composite materials
2. communication antenna: metal and/or composite materials
3. scientific instruments: electronics, metal, plastic, glass, and/or composite materials
4. solar panels: silicon, metal, and glass"
Uncrewed spacecraft	Uncrewed Orbital Spacecraft	-	"body: F
communication antenna: F
scientific instruments: F
thrusters: F
solar panels: F"	"1. body: aluminum alloys and/or composite materials
2. communication antenna: metal
3. scientific instruments: metal, plastics, and electronics
4. thrusters: metal and ceramics
5. solar panels: silicon, metal, and glass"
Uncrewed spacecraft	Lander	-	"body: F
communication antenna: F
scientific instruments: F
landing gear: F
thrusters: T
solar panels: T
batteries: F"	"1. body: aluminum or titanium and/or composite materials
2. communication antenna: metal and/or composite materials
3. scientific instruments: various metals, plastics, and/or electronics
4. landing gear: aluminum or steel and/or composites
5. thrusters: various metals and/or ceramics
6. solar panels: silicon and/or gallium arsenide
7. batteries: lithium-ion or nickel-hydrogen"
Uncrewed spacecraft	Rover	-	"body: F
communication antenna: F
scientific instruments: F
wheels or tracks: F
solar panels: T
batteries: F"	"1. body: aluminum, titanium, and/or composite materials
2. communication antenna: aluminum or copper
3. scientific instruments: various metals, plastics, and electronics
4. wheels or tracks: aluminum, steel, and/or rubber
5. solar panels: silicon, gallium arsenide, and/or other semiconducting materials
6. batteries: lithium, nickel, and/or other metals"
Uncrewed spacecraft	Flyby spacecraft	-	"body: F
communication antenna: F
scientific instruments: F
solar panels: T
batteries: F"	"1. body: aluminum, titanium, and composites
2. communication antenna: aluminum, copper, and composites
3. scientific instruments: glass, aluminum, plastic, and electronics
4. solar panels: silicon, glass, and metal
5. batteries: lithium, cobalt, nickel, and aluminum"
Uncrewed spacecraft	Atmospheric probe	-	"body: F
communication antenna: F
scientific instruments: F
heat shield: F
parachute: T
solar panels: T
batteries: F"	"1. body: metal and/or composite materials
2. communication antenna: metal
3. scientific instruments: metal, plastic, and electronics
4. heat shield: ablative material or heat-resistant composites
5. parachute: nylon or kevlar
6. solar panels: silicon, metal, and glass
7. batteries: lithium or alkaline"
Underpants	Briefs	-	"waistband: F
pouch: F
leg openings: F"	"1. waistband: cotton, elastane, and/or polyester
2. pouch: cotton
3. leg openings: cotton, elastane, and/or polyester"
Underpants	Boxers	-	"waistband: F
fly: F
loose leg openings: F"	"1. waistband: elastic
2. fly: cotton
3. loose leg openings: cotton"
Underpants	Men's Trunk-Style Underwear	-	"waistband: F
pouch: F
short leg openings: F"	"1. waistband: elastic
2. pouch: cotton or synthetic fibers
3. short leg openings: elastic"
Underpants	Boxer briefs	-	"waistband: F
pouch: F
leg bands: F"	"1. waistband: elastic
2. pouch: cotton, modal, or spandex
3. leg bands: elastic"
Undershirt	-	-	"body: F
sleeves: T
neckline: F"	"1. body: cotton, polyester, and/or spandex
2. sleeves: cotton, polyester, and/or spandex
3. neckline: cotton, polyester, and/or spandex"
Unicycle	Freestyle unicycle	-	"wheel: F
saddle: F
frame: F
pedals: F
seat post: F
fork: F"	"1. wheel: rubber, plastic, and metal
2. saddle: foam and leather or synthetic leather
3. frame: steel or aluminum
4. pedals: plastic or metal
5. seat post: steel or aluminum
6. fork: steel or aluminum"
Unicycle	Trials unicycle	-	"wheel: F
saddle: F
frame: F
pedals: F
seat post: F
fork: F
knobby tire: F"	"1. wheel: rubber, metal, and/or plastic
2. saddle: foam, leather or synthetic materials
3. frame: metal
4. pedals: metal or plastic
5. seat post: metal
6. fork: metal
7. knobby tire: rubber"
Unicycle	Mountain unicycle	-	"wheel: F
saddle: F
frame: F
pedals: F
seat post: F
fork: F
large knobby tire: F"	"1. wheel: metal, rubber
2. saddle: leather, synthetic materials, and foam
3. frame: aluminum or steel
4. pedals: plastic and/or metal
5. seat post: aluminum or steel
6. fork: aluminum or steel
7. large knobby tire: rubber"
Unicycle	Touring unicycle	-	"wheel: F
saddle: F
frame: F
pedals: F
seat post: F
fork: F
handlebars: T
larger wheel diameter: F"	"1. wheel: rubber and metal
2. saddle: leather or synthetic material
3. frame: steel, aluminum, or carbon fiber
4. pedals: plastic or metal
5. seat post: steel, aluminum, or carbon fiber
6. fork: steel, aluminum, or carbon fiber
7. handlebars: metal or carbon fiber
8. larger wheel diameter: rubber and metal"
Unicycle	Giraffe unicycle	-	"wheel: F
saddle: F
frame: F
pedals: F
seat post: F
fork: F
chain: F
sprockets: F
elevated frame: F"	"1. wheel: rubber and metal
2. saddle: leather or synthetic material and foam
3. frame: metal
4. pedals: plastic or metal
5. seat post: metal
6. fork: metal
7. chain: metal
8. sprockets: metal
9. elevated frame: metal"
Uniform	Military uniform	-	"coat: F
trousers: F
rank insignia: F
name tag: F
headgear: F"	"1. coat: cotton, wool, polyester, and/or nylon
2. trousers: cotton, wool, polyester, and/or nylon
3. rank insignia: metal, cloth
4. name tag: metal, cloth
5. headgear: cotton, wool, polyester, nylon, and/or leather"
Uniform	School uniform	-	"shirt: F
trousers/skirt: F
tie: T
blazer: T
sweater: T
socks: F
shoes: F"	"1. shirt: cotton or polyester
2. trousers/skirt: cotton, polyester, and/or wool
3. tie: silk or polyester
4. blazer: wool, polyester, and/or cotton
5. sweater: wool or cotton
6. socks: cotton, polyester, and/or wool
7. shoes: leather or synthetic materials"
Uniform	Medical uniform	-	"top: F
trousers: F
lab coat: T
shoes: F
name tag: T"	"1. top: cotton, polyester, and/or spandex
2. trousers: cotton, polyester, and/or spandex
3. lab coat: cotton, polyester, and/or spandex
4. shoes: leather, synthetic materials, and/or rubber
5. name tag: plastic or metal"
Uniform	Sports uniform	-	"jersey: F
shorts/trousers: F
shoes: F
socks: F
protective gear: T"	"1. jersey: polyester or cotton
2. shorts/trousers: polyester or cotton
3. shoes: leather, synthetic materials, and rubber
4. socks: cotton, nylon, and/or polyester
5. protective gear: foam, plastics, and/or metal"
Uniform	Corporate uniform	-	"shirt/blouse: F
trousers/skirt: F
jacket/blazer: F
tie: T
name tag: T
shoes: F"	"1. shirt/blouse: cotton, polyester, and/or silk
2. trousers/skirt: wool, cotton, polyester and/or elastane
3. jacket/blazer: wool, cotton, polyester and/or elastane
4. tie: silk, polyester and/or cotton
5. name tag: plastic or metal
6. shoes: leather, rubber, and/or synthetic materials"
Uniform	Service uniform	-	"top: F
trousers: F
apron: T
hat/cap: T
name tag: T
shoes: F"	"1. top: cotton, polyester, and/or wool
2. trousers: cotton, polyester, and/or wool
3. apron: cotton, polyester, and/or vinyl
4. hat/cap: cotton, polyester, and/or wool
5. name tag: plastic or metal
6. shoes: leather and/or synthetic materials"
Unitard	-	-	"body: F
shoulder straps: F
leg openings: F"	"1. body: spandex or lycra
2. shoulder straps: spandex or lycra
3. leg openings: spandex or lycra"
Unmanned aerial vehicle	Fixed-wing drone	-	"wings: F
fuselage: F
power source: F
control surfaces: F
landing gear: T"	"1. wings: plastic or composite materials
2. fuselage: plastic, composite materials, or aluminum
3. power source: electronics
4. control surfaces: plastic, composite materials, or aluminum
5. landing gear: metal or plastic"
Unmanned aerial vehicle	Rotary-wing drone	-	"rotors: F
fuselage: F
power source: F
landing gear: T
internal mechanism: F"	"1. rotors: plastic and/or carbon fiber
2. fuselage: plastic or carbon fiber
3. power source: lithium polymer or lithium-ion batteries
4. landing gear: plastic or metal
5. internal mechanism: electronics, metal, and plastics"
Unmanned aerial vehicle	Hybrid drone	-	"wings: F
rotors: F
fuselage: F
power source: F
control surfaces: F
landing gear: T
internal mechanism: F"	"1. wings: composite materials or aluminum
2. rotors: carbon fiber or plastic
3. fuselage: composite materials or aluminum
4. power source: lithium polymer battery or lithium-ion battery
5. control surfaces: composite materials or aluminum
6. landing gear: metal and/or composite materials
7. internal mechanism: electronics, metal, and plastics"
Urinal	Flush urinal	-	"bowl: F
drain: F
flush valve: F
water supply pipes: F"	"1. bowl: porcelain or vitreous china
2. drain: metal or plastic
3. flush valve: metal and/or plastic
4. water supply pipes: copper or PVC"
Urinal	Waterless urinal	-	"bowl: F
drain: F
trap: F
internal mechanism: F"	"1. bowl: ceramic or vitreous china
2. drain: metal or plastic
3. trap: plastic or silicone
4. internal mechanism: metal and plastics"
Urinal	Trough urinal	-	"trough: F
drain: F
flush valve: T
water supply pipes: T"	"1. trough: stainless steel, ceramic, or fiberglass
2. drain: metal
3. flush valve: metal and plastic
4. water supply pipes: copper or PVC"
Urinal (health care)	-	-	"body: F
handle: T
spout: T
lid: T"	"1. body: plastic or stainless steel
2. handle: plastic or stainless steel
3. spout: plastic or stainless steel
4. lid: plastic"
Urn	Funeral urn	-	"body: F
lid: F"	"1. body: ceramic, metal, wood, or stone
2. lid: ceramic, metal, wood, or stone"
Urn	Garden urn	-	"body: F
base: F"	"1. body: terracotta or stone or concrete or metal
2. base: terracotta or stone or concrete or metal"
Urn	Grecian urn	-	"body: F
neck: F
foot: F
handles: T"	"1. body: ceramic
2. neck: ceramic
3. foot: ceramic
4. handles: ceramic"
Urn	Keepsake Urn	-	"body: F
lid: F
seal: T"	"1. body: ceramic, metal, wood, or stone
2. lid: ceramic, metal, wood, or stone
3. seal: rubber or silicone"
Utility pole	-	-	"pole body: F
crossarms: T
insulators: F
ground wire: T
guy wires: T"	"1. pole body: wood or concrete or metal or composite materials
2. crossarms: wood or metal
3. insulators: ceramic or glass or plastic
4. ground wire: copper or aluminum
5. guy wires: steel"
Uzi	Uzi submachine gun	-	"body: F
barrel: F
magazine: F
stock: T
sights: F
grip: F"	"1. body: metal
2. barrel: metal
3. magazine: metal and/or plastic
4. stock: metal and/or plastic
5. sights: metal
6. grip: plastic or rubber"
Uzi	Mini Uzi	-	"body: F
shortened barrel: F
magazine: F
folding stock: F
sights: F
grip: F"	"1. body: metal
2. shortened barrel: metal
3. magazine: metal or plastic
4. folding stock: metal or polymer
5. sights: metal or plastics
6. grip: plastic or wood"
Uzi	Micro Uzi	-	"body: F
further shortened barrel: F
magazine: F
folding stock: T
sights: F
grip: F"	"1. body: steel
2. further shortened barrel: steel
3. magazine: steel or polymer
4. folding stock: metal or polymer
5. sights: metal
6. grip: polymer or wood"
Vacuum cleaner	-	-	"body: F
motor: F
dustbin: F
filter: F
suction inlet: F
power source: F"	"1. body: plastic or metal
2. motor: metal and electronics
3. dustbin: plastic or metal
4. filter: paper, fabric, and/or foam
5. suction inlet: plastic or metal
6. power source: metal and electronics"
Vacuum flask	Dewar flask	-	"casing: F
internal chamber: F"	"1. casing: metal, plastic, or foam
2. internal chamber: glass or metal"
Vacuum flask	Thermos flask	-	"casing: F
internal chamber: F
cap: F
cup: T"	"1. casing: metal or plastic
2. internal chamber: glass or metal
3. cap: plastic or metal
4. cup: metal or plastic"
Vacuum flask	Cryogenic flask	-	"casing: F
internal chamber: F
neck plug: F
cap: F
handle: T"	"1. casing: stainless steel or alloy
2. internal chamber: stainless steel or alloy
3. neck plug: rubber or plastic
4. cap: plastic or metal
5. handle: plastic or metal"
Vacuum flask	Laboratory vacuum flask	-	"casing: F
internal chamber: F
stopper: F"	"1. casing: plastic, metal, or glass
2. internal chamber: glass or metal
3. stopper: rubber, plastic, or silicone"
Vacuum truck	Liquid waste suction truck	-	"chassis: F
vacuum tank: F
pump: F
hose: F"	"1. chassis: steel
2. vacuum tank: aluminum or steel
3. pump: metal, rubber, and plastics
4. hose: rubber or reinforced plastic"
Vacuum truck	Dry Bulk Vacuum Truck	-	"chassis: F
vacuum tank: F
pump: F
hose: F
cyclone separator: F"	"1. chassis: steel
2. vacuum tank: steel or aluminum
3. pump: metal and electronics
4. hose: rubber or plastic
5. cyclone separator: metal"
Vacuum truck	Combination vacuum truck	-	"chassis: F
vacuum tank: F
pump: F
hose: F
water tank: F
water pump: F
jetting hose: F"	"1. chassis: steel
2. vacuum tank: steel and/or aluminum
3. pump: metals and various engineered materials
4. hose: plastic and rubber
5. water tank: plastic or stainless steel
6. water pump: metals and various engineered materials
7. jetting hose: plastic and rubber"
Vacuum truck	Industrial vacuum loader	-	"chassis: F
vacuum tank: F
pump: F
hose: F
heavy-duty cyclone: F
filter house: F"	"1. chassis: metal
2. vacuum tank: metal
3. pump: metal and/or composites
4. hose: rubber or plastic
5. heavy-duty cyclone: metal
6. filter house: metal and/or composites"
